Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Myogenesis	6/200	1.691901e-02	3.306898e-02	0	0	3.061856e+00	1.249028e+01	SPARC;TPM3;FXYD1;IGFBP7;CKB;CRYAB
MSigDB_Hallmark_2020	Xenobiotic Metabolism	6/200	1.691901e-02	3.306898e-02	0	0	3.061856e+00	1.249028e+01	VTN;ID2;GSR;PTGDS;NDRG2;CNDP2
MSigDB_Hallmark_2020	p53 Pathway	6/200	1.691901e-02	3.306898e-02	0	0	3.061856e+00	1.249028e+01	LDHB;TSC22D1;CD81;CTSD;TM4SF1;S100A10
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	5.447057e-02	9.368938e-02	0	0	2.525577e+00	7.349667e+00	IFITM3;ARL4A;IFITM2;IFI27;PIM1
MSigDB_Hallmark_2020	Apical Junction	5/200	5.447057e-02	9.368938e-02	0	0	2.525577e+00	7.349667e+00	CLDN5;RAC2;PECAM1;TGFBI;PFN1
MSigDB_Hallmark_2020	Glycolysis	5/200	5.447057e-02	9.368938e-02	0	0	2.525577e+00	7.349667e+00	PKM;MDH1;HSPA5;SDC2;TGFBI
MSigDB_Hallmark_2020	Protein Secretion	3/96	7.512403e-02	1.166297e-01	0	0	3.162093e+00	8.185440e+00	CD63;SGMS1;CTSC
MSigDB_Hallmark_2020	Interferon Alpha Response	3/97	7.696495e-02	1.166297e-01	0	0	3.128295e+00	8.022215e+00	IFITM3;IFITM2;IFI27
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4/158	7.865724e-02	1.166297e-01	0	0	2.550909e+00	6.486083e+00	LGALS1;MDH1;G0S2;S100A10
MSigDB_Hallmark_2020	UV Response Up	4/158	7.865724e-02	1.166297e-01	0	0	2.550909e+00	6.486083e+00	BSG;CXCL2;SLC25A4;RHOB
MSigDB_Hallmark_2020	Androgen Response	3/100	8.260556e-02	1.184013e-01	0	0	3.031082e+00	7.558543e+00	TSC22D1;GSR;DBI
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	8.916884e-02	1.214670e-01	0	0	4.160312e+00	1.005640e+01	GPX4;GSR
MSigDB_Hallmark_2020	Pperoxisome	3/104	9.039408e-02	1.214670e-01	0	0	2.910448e+00	6.995484e+00	PRDX5;TTR;SLC25A4
MSigDB_Hallmark_2020	Bile Acid Metabolism	3/112	1.068402e-01	1.392160e-01	0	0	2.695741e+00	6.028814e+00	PRDX5;TTR;RBP1
MSigDB_Hallmark_2020	heme Metabolism	4/200	1.483545e-01	1.876248e-01	0	0	2.000000e+00	3.816301e+00	BSG;SLC2A1;CTSB;ABCG2
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	2.905279e-01	3.569343e-01	0	0	1.893012e+00	2.339868e+00	SLC2A1;PFN1
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	3.366793e-01	4.021447e-01	0	0	2.495516e+00	2.716680e+00	MAFB
MSigDB_Hallmark_2020	Apical Surface	1/44	3.633860e-01	4.223135e-01	0	0	2.262917e+00	2.290727e+00	HSPB1
MSigDB_Hallmark_2020	Estrogen Response Early	2/200	6.075053e-01	6.874402e-01	0	0	9.799980e-01	4.884255e-01	OLFML3;SLC2A1
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	6.870740e-01	7.575431e-01	0	0	8.657635e-01	3.249326e-01	HSPA5
MSigDB_Hallmark_2020	Spermatogenesis	1/135	7.506127e-01	8.069087e-01	0	0	7.228145e-01	2.073505e-01	ARL4A
MSigDB_Hallmark_2020	DNA Repair	1/150	7.863975e-01	8.247583e-01	0	0	6.495520e-01	1.560828e-01	GPX4
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	8.713207e-01	8.726464e-01	0	0	4.875852e-01	6.716253e-02	SPTBN1
MSigDB_Hallmark_2020	Myc Targets V1	1/200	8.726464e-01	8.726464e-01	0	0	4.851103e-01	6.608410e-02	RPS2
